Rank,Name,Domestic Box Office,Movies,Average
148,Danny DeVito,1235675801,24,51486492
149,Gerard Butler,1230255643,30,41008521
150,Geoffrey Rush,1226520583,16,76657536
151,Jackie Chan,1205170559,36,33476960
152,Henry Cavill,1203301820,10,120330182
153,Michelle Rodriguez,1200855510,16,75053469
154,Michael Keaton,1195042026,18,66391224
155,Emma Thompson,1178613529,19,62032291
156,Colin Farrell,1174972657,32,36717896
157,Paul Newman,1174478569,32,36702455
158,Patrick Stewart,1171130148,17,68890009
159,Vince Vaughn,1169374445,25,46774978
160,Sam Worthington,1168724907,22,53123859
161,Ben Mendelsohn,1164903453,11,105900314
162,Kristen Wiig,1163944253,19,61260224
163,Kevin Kline,1160381799,21,55256276
164,Emily Blunt,1157923481,26,44535519
165,Kate Winslet,1147497853,29,39568891
166,Anthony Daniels,1135383924,3,378461308
167,Michael B. Jordan,1130805246,18,62822514
168,Rachel McAdams,1125578277,21,53598966
169,Pierce Brosnan,1122777179,31,36218619
170,Zach Galifianakis,1116604116,15,74440274
171,Forest Whitaker,1107010371,28,39536085
172,Matthew Broderick,1105467458,19,58182498
173,Billy Crystal,1094691756,15,72979450
174,Zendaya,1089790287,7,155684327
175,Martin Lawrence,1089313552,15,72620903
176,Jason Bateman,1087850058,18,60436114
177,Emma Stone,1085531350,16,67845709
178,Beyoncé Knowles,1074336242,8,134292030
179,Zac Efron,1072255739,24,44677322
180,Ice Cube,1069091042,25,42763642
181,Queen Latifah,1068352114,17,62844242
182,Drew Barrymore,1065438493,31,34368984
183,Michael J. Fox,1059517812,21,50453229
184,Michael Peña,1058814915,20,52940746
185,Gal Gadot,1048362055,9,116484673
186,David Spade,1045458496,15,69697233
187,Antonio Banderas,1044742364,28,37312227
188,Jennifer Lopez,1041082942,27,38558627
189,Justin Long,1039776298,23,45207665
190,Jada Pinkett Smith,1039071046,10,103907105
191,Elijah Wood,1038941650,22,47224620
192,Jake Gyllenhaal,1037793083,30,34593103
193,Colin Firth,1036683735,34,30490698
194,John Cusack,1023461223,59,17346800
195,John Leguizamo,1010846401,22,45947564
196,Bette Midler,1009784131,26,38837851
197,Michael Caine,1008884046,33,30572244
198,Demi Moore,993932853,27,36812328
199,Karl Urban,990065516,11,90005956
200,Melissa McCarthy,988967475,16,61810467
201,Meg Ryan,981956678,27,36368766
202,Holly Hunter,980166187,9,108907354
203,Benicio del Toro,974749122,17,57338184
204,Alec Baldwin,970033941,27,35927183
205,Tyler Perry,968233002,19,50959632
206,Daniel Kaluuya,967586452,5,193517290
207,Will Arnett,965432689,12,80452724
208,Bill Hader,965202832,11,87745712
209,Tom Hardy,952852359,17,56050139
210,Sacha Baron Cohen,951357746,10,95135775
211,Rachel Weisz,946785749,24,39449406
212,Catherine Zeta-Jones,943350739,19,49650039
213,John C. Reilly,928570322,19,48872122
214,Helena Bonham Carter,924571944,29,31881791
215,Jodie Foster,922319212,24,38429967
216,Michael Fassbender,918058400,25,36722336
217,Glenn Close,915791898,25,36631676
218,Ed Helms,905565649,18,50309203
219,Laurence Fishburne,901229508,21,42915691
220,Susan Sarandon,899595251,50,17991905
221,Willem Dafoe,891218052,33,27006608
222,Craig T. Nelson,890279836,3,296759945
223,Margot Robbie,889715328,17,52336196
224,Ellen DeGeneres,879630002,3,293210001
225,Idina Menzel,878326587,2,439163294
226,Elizabeth Banks,875595181,21,41695009
227,Chiwetel Ejiofor,873977699,15,58265180
228,Wesley Snipes,871188076,30,29039603
229,Diane Keaton,870644895,36,24184580
230,Kate Beckinsale,870575707,23,37851118
231,Sarah Vowell,870022836,2,435011418
232,Tilda Swinton,867293752,22,39422443
233,Denis Leary,863092234,9,95899137
234,Terry Notary,859875347,2,429937674
235,Salma Hayek,856365598,24,35681900
236,Ray Romano,851225386,9,94580598
237,Amanda Seyfried,850549816,23,36980427
238,Jessica Alba,850539415,18,47252190
239,Hayden Christensen,849664948,13,65358842
240,Megan Fox,837487462,14,59820533
241,James Franco,835560748,42,19894304
242,Annette Bening,835155342,24,34798139
243,Dan Aykroyd,827295315,14,59092523
244,Nick Jonas,817499945,8,102187493
245,Danny Glover,812535217,22,36933419
246,Aaron Taylor-Johnson,810600479,11,73690953
247,Sigourney Weaver,808597431,37,21853985
248,Richard Dreyfuss,806370938,14,57597924
249,Jesse Eisenberg,805385820,22,36608446
250,Sean Connery,804434786,15,53628986
251,Alan Rickman,802760922,9,89195658
252,Albert Brooks,797369546,6,132894924
253,Nick Nolte,796047648,24,33168652
254,Anna Kendrick,793626703,23,34505509
255,Jamie Lee Curtis,792582505,13,60967885
256,Mads Mikkelsen,791761756,14,56554411
257,Bryce Dallas Howard,785980541,8,98247568
258,Regina Hall,781175516,19,41114501
259,Taron Egerton,774359512,10,77435951
260,Joseph Gordon-Levitt,771335202,21,36730248
261,Viola Davis,770693218,13,59284094
262,Goldie Hawn,767977695,21,36570366
263,Halle Berry,767195279,18,42621960
264,John Cho,766569483,9,85174387
265,Barbra Streisand,763506856,10,76350686
266,Anna Faris,763268144,15,50884543
267,Ryan Gosling,762999371,21,36333303
268,Donald Glover,760897224,4,190224306
269,Brendan Fraser,756493273,17,44499604
270,Renée Zellweger,754862831,22,34311947
271,Jay Baruchel,753215416,15,50214361
272,Steve Buscemi,752021505,19,39580079
273,Jordana Brewster,751545691,8,93943211
274,Cedric the Entertainer,749580572,14,53541469
275,Javier Bardem,748074945,21,35622616
276,Riz Ahmed,746767851,11,67887986
