Rank,Name,Domestic Box Office,Movies,Average
654,Courteney Cox,321001985,7,45857426
655,Emma Roberts,320762217,18,17820123
656,Mena Suvari,317368544,19,16703608
657,Shawn Wayans,317121001,4,79280250
658,Liv Tyler,317081459,8,39635182
659,Janeane Garofalo,315251740,8,39406468
660,Daryl Sabara,314638230,5,62927646
661,Dominic Cooper,314053815,8,39256727
662,Ben Whishaw,313717884,11,28519808
663,Dave Franco,313652002,8,39206500
664,Alexa Vega,313522932,9,34835881
665,Terry Crews,312931340,6,52155223
666,Jack Lemmon,312594139,19,16452323
667,Craig Robinson,311047542,15,20736503
668,Alexander Skarsgård,309923928,13,23840302
669,Paul Hogan,309699835,4,77424959
670,Jack Davenport,309420425,1,309420425
671,Gael Garcia Bernal,308850270,18,17158348
672,Clark Duke,308321750,5,61664350
673,Hilary Duff,308316877,9,34257431
674,Mary Elizabeth Winstead,307990953,11,27999178
675,Tom Sizemore,307740347,23,13380015
676,Jennifer Connelly,306961478,15,20464099
677,John Corbett,306941025,5,61388205
678,Natasha Lyonne,305895149,10,30589515
679,Amy Smart,304297515,14,21735537
680,Morris Chestnut,303867643,9,33763071
681,Chris Klein,303657889,5,60731578
682,Nia Vardalos,301155574,5,60231115
683,Kaya Scodelario,299180229,9,33242248
684,David Arquette,298169259,14,21297804
685,Jessica Tandy,297252264,5,59450453
686,Jessica Biel,296260546,15,19750703
687,Olivia Wilde,295626886,15,19708459
688,Robert Shaw,295450000,5,59090000
689,Diane Kruger,294464998,12,24538750
690,Edward Asner,293214154,5,58642831
691,Jordan Nagai,293004164,1,293004164
692,John Heard,291171815,25,11646873
693,Logan Lerman,290357572,11,26396143
694,Madonna,289318475,5,57863695
695,Bridget Moynahan,289211282,4,72302821
696,Benjamin Barnes,288210357,9,32023373
697,Eugenio Derbez,286493694,9,31832633
698,Tony Shalhoub,286414672,3,95471557
699,Vanessa Hudgens,286253001,14,20446643
700,Christina Applegate,286177596,6,47696266
701,Jenifer Lewis,286058370,2,143029185
702,Famke Janssen,285703209,11,25973019
703,Jacob Tremblay,285553601,7,40793372
704,Corey Stoll,285341055,7,40763008
705,Jared Harris,285156666,5,57031333
706,Sofia Vergara,285048019,9,31672002
707,Jack Reynor,283848111,9,31538679
708,Mary Steenburgen,281412651,9,31268072
709,James Marsden,281199847,19,14799992
710,Tom Kenny,279914277,5,55982855
711,Anthony Anderson,279590564,10,27959056
712,Constance Wu,279496519,5,55899304
713,Joey King,279030222,12,23252519
714,Jon Bernthal,278828978,7,39832711
715,John Belushi,278499097,5,55699819
716,Jack McBrayer,278192205,5,55638441
717,Geena Davis,277780267,6,46296711
718,Billy Bob Thornton,276616807,18,15367600
719,Loretta Devine,275903353,10,27590335
720,Lady Gaga,275699514,3,91899838
721,Kathy Bates,275683379,10,27568338
722,Alice Eve,275561769,9,30617974
723,Henry Golding,274419792,6,45736632
724,Ansel Elgort,274323368,9,30480374
725,Hugh Laurie,273475549,6,45579258
726,Lance Henriksen,272872915,11,24806629
727,William Fichtner,271920549,7,38845793
728,Walton Goggins,271082322,4,67770581
729,Adrien Brody,271038907,25,10841556
730,Wendi McLendon-Covey,270578457,7,38654065
731,Piper Perabo,268485951,7,38355136
732,Tim Robbins,268358634,18,14908813
733,Cloris Leachman,267916346,10,26791635
734,Mark Strong,266458254,12,22204855
735,Elsie Fisher,265053695,3,88351232
736,Jackie Earle Haley,263886511,6,43981085
737,Chris Miller,263525791,2,131762896
738,Whitney Houston,261498140,5,52299628
739,Spencer Fox,261441092,1,261441092
740,Christopher Reeve,260637905,6,43439651
741,Dane Cook,260619982,8,32577498
742,Ally Sheedy,260329170,13,20025321
743,Carmen Ejogo,258435044,3,86145015
744,Amanda Bynes,257783366,6,42963894
745,Christopher Plummer,257538101,24,10730754
746,Seth Green,256770274,9,28530030
747,Billy Connolly,256047927,5,51209585
748,Tobin Bell,255511641,9,28390182
749,Matt Dillon,255141761,26,9813145
750,F. Murray Abraham,253063494,6,42177249
751,Amanda Peet,252640017,7,36091431
752,Taye Diggs,251731561,12,20977630
753,Miranda Cosgrove,251513985,1,251513985
754,Dana Gaier,251513985,1,251513985
755,Nick Castle,251368170,2,125684085
756,James Jude Courtney,251368170,2,125684085
757,Zhang Ziyi,250652330,8,31331541
758,Cynthia Nixon,249860346,3,83286782
759,Rob Lowe,249227937,21,11867997
760,Kris Kristofferson,248920096,12,20743341
761,Auli'i Cravalho,248757044,3,82919015
762,Catherine Keener,248479643,11,22589058
763,Rooney Mara,248205199,14,17728943
764,Kim Cattrall,248027992,3,82675997
765,Finn Wolfhard,247615485,5,49523097
766,Meagan Good,247050660,9,27450073
767,Jane Lynch,246425654,3,82141885
768,Michael Cera,245995327,10,24599533
769,Kim Basinger,245835549,15,16389037
770,Nicola Peltz,245439076,3,81813025
771,John Ratzenberger,244900247,4,61225062
772,Jason Clarke,244379231,12,20364936
773,Mélanie Laurent,244289477,5,48857895
774,Joe Ranft,244082982,1,244082982
775,Guido Quaroni,244082982,1,244082982
776,George Carlin,244082982,2,122041491
777,Paul Dooley,244082982,1,244082982
778,Richard Petty,244082982,1,244082982
779,Michael Wallis,244082982,1,244082982
780,Katherine Helmond,244082982,1,244082982
781,Dennis Haysbert,243883563,4,60970891
782,Taylor Kitsch,243738999,7,34819857
783,Shirley MacLaine,242731423,12,20227619
784,Harold Ramis,242604185,1,242604185
785,Topher Grace,242515614,8,30314452
786,Thomas Brodie-Sangster,242158104,8,30269763
787,America Ferrera,241419214,5,48283843
788,Jon Heder,240884374,9,26764930
789,Bow Wow,240703964,8,30087996
790,Lance Reddick,240299080,4,60074770
791,Asa Butterfield,239780647,11,21798241
792,Andie MacDowell,239422613,14,17101615
793,Kelly Macdonald,239313424,5,47862685
794,Samantha Morton,238912490,5,47782498
795,Helen Hunt,237380893,9,26375655
796,Kevin McKidd,237282182,1,237282182
797,Michael Sheen,237027935,8,29628492
798,Ted Danson,237021239,4,59255310
799,Alden Ehrenreich,236871856,4,59217964
800,Jason Segel,235812510,9,26201390
801,Joe Manganiello,235385070,9,26153897
802,Lena Headey,235138066,13,18087544
803,J.B. Smoove,234917102,6,39152850
804,Phoebe Cates,234741273,5,46948255
805,James Caan,233334233,18,12963013
806,Tye Sheridan,233065101,16,14566569
807,Max von Sydow,232401277,6,38733546
808,Daveigh Chase,231763140,4,57940785
809,Audrey Tautou,230692880,11,20972080
810,Gene Wilder,229945263,8,28743158
811,Daryl Hannah,229905859,10,22990586
812,Ben Schwartz,229141870,9,25460208
813,Ray Fisher,229024295,1,229024295
814,Jerry O'Connell,228084069,11,20734915
815,Wayne Knight,227699042,2,113849521
816,Michael Nyqvist,227599935,5,45519987
817,Christopher Guest,227447551,7,32492507
818,Sean Harris,227245736,3,75748579
819,Mary Elizabeth Mastrantonio,226798482,3,75599494
820,Mckenna Grace,226422700,5,45284540
821,Dafne Keen,226277068,2,113138534
822,Walter Matthau,224669694,11,20424518
823,Simu Liu,224543292,1,224543292
824,Robby Benson,224333165,3,74777722
825,Elizabeth Perkins,223906359,2,111953180
826,Ben Burtt,223808164,1,223808164
827,Emily Mortimer,223383222,14,15955944
828,Juliette Binoche,222883739,25,8915350
829,Ryan Potter,222618610,2,111309305
830,Scott Adsit,222527828,1,222527828
831,Peter Dinklage,221882543,12,18490212
832,Casey Affleck,221605338,13,17046564
833,Daveed Diggs,221166583,3,73722194
834,Verne Troyer,220807396,3,73602465
835,Alex Pettyfer,220785039,11,20071367
836,Kathryn Hahn,220213686,7,31459098
837,Andrew McCarthy,219926029,13,16917387
838,Omar Sharif,219777847,4,54944462
839,Charlie Hunnam,219493355,12,18291113
840,Lisa Jakob,219195051,1,219195051
841,Lily Tomlin,218792657,7,31256094
842,Anil Kapoor,218782576,7,31254654
843,Raul Julia,218366156,4,54591539
844,Luke Wilson,218360906,20,10918045
845,Josh Holloway,218286258,3,72762086
846,Nicholas Hoult,218060638,14,15575760
847,Sam Neill,217787201,15,14519147
848,Julie Christie,217749512,6,36291585
849,Jonathan Freeman,217350219,1,217350219
850,Brad Kane,217350219,1,217350219
851,Linda Larkin,217350219,1,217350219
852,Lea Salonga,217350219,1,217350219
853,Scott Weinger,217350219,1,217350219
854,Elise Vargas,217040949,2,108520475
855,Zoey Vargas,217040949,2,108520475
856,Ryan O'Neal,216678402,5,43335680
857,Dave Goelz,216461815,3,72153938
858,Matt Bomer,216202525,8,27025316
859,Hugh Bonneville,215777076,6,35962846
860,Rob Corddry,214176171,12,17848014
861,Brian Tyree Henry,213981033,4,53495258
862,Phoebe Waller-Bridge,213767512,1,213767512
863,Jonathan Winters,213639768,3,71213256
864,Katy Perry,213631942,2,106815971
865,Juliette Lewis,213185916,12,17765493
866,Katharine Hepburn,212030456,10,21203046
867,Rebecca De Mornay,211666736,8,26458342
868,Chris O'Dowd,211629455,9,23514384
869,Clark Gable,210720470,5,42144094
870,Anthony Gonzalez,210460015,3,70153338
871,Ed O'Neill,209836066,2,104918033
872,Vladimir Mashkov,209518919,3,69839640
873,Adrianne Palicki,209484132,5,41896826
874,Cole Sprouse,209209016,3,69736339
875,"O'Shea Jackson, Jr.",209166540,4,52291635
876,Lakeith Lee Stanfield,209151903,6,34858651
877,Shameik Moore,208535559,4,52133890
878,Chris Cooper,208446174,8,26055772
879,Miley Cyrus,207854354,5,41570871
880,Charles Grodin,207715144,6,34619191
881,Mark Rylance,207238149,10,20723815
882,Julia Winter,206459076,1,206459076
883,Jordon Fry,206459076,1,206459076
884,Philip Wiegratz,206459076,1,206459076
885,Ray Liotta,206455474,22,9384340
886,Lou Romano,206445654,1,206445654
887,Ian Holm,206445654,2,103222827
888,Jaimie Alexander,206402405,4,51600601
889,Paige O'Hara,206333165,1,206333165
890,Kristin Scott Thomas,206230244,16,12889390
891,Pat Morita,205919537,3,68639846
892,David Harbour,205579330,6,34263222
893,Brent Spiner,205469955,3,68489985
894,Jim Sturgess,205296900,15,13686460
895,Gemma Arterton,205288670,20,10264434
896,Amy Schumer,204860479,4,51215120
897,Jason Schwartzman,203990734,15,13599382
898,Jeremy Irvine,203913836,6,33985639
899,Tony Goldwyn,203844034,2,101922017
900,Josh Duhamel,203838727,18,11324374
901,Miles Teller,203767330,14,14554809
902,Johnny Knoxville,203511287,11,18501026
903,Jon Voight,203357001,11,18487000
904,Brandon Routh,203139079,7,29019868
905,Olivia Cooke,202514737,10,20251474
906,Mel Brooks,202465190,3,67488397
907,Oded Fehr,202007640,3,67335880
908,Arnold Vosloo,202007640,2,101003820
909,Jonathan Pryce,201804792,10,20180479
910,Rupert Everett,201519758,8,25189970
911,Janelle Monáe,200521048,4,50130262
912,Carrie Anne Moss,199875267,6,33312545
913,Jean Reno,199586809,12,16632234
914,Denholm Elliott,199451954,2,99725977
915,Stephanie Beatriz,199366687,5,39873337
916,Lena Waithe,199245317,2,99622659
917,Joseph Fiennes,198761110,6,33126852
918,Vivien Leigh,198680470,2,99340235
919,Romany Malco,198641077,5,39728215
920,John Rhys-Davies,198407900,8,24800988
921,Chow Yun-Fat,197629606,8,24703701
922,Neil Patrick Harris,197575563,5,39515113
923,Alison Doody,197171806,1,197171806
924,Michael Byrne,197171806,1,197171806
925,Kiefer Sutherland,196715674,15,13114378
926,Leslie Jones,195325029,3,65108343
927,Eve,194882105,3,64960702
928,Ali Larter,193939229,7,27705604
929,Zach Galligan,193138010,3,64379337
930,Alessandro Nivola,192838706,6,32139784
931,Katie Featherston,192671717,2,96335859
932,Micah Sloat,192671717,2,96335859
933,Alan Ritchson,192391180,5,38478236
934,Melanie Griffith,192072997,12,16006083
935,James Doohan,191971588,2,95985794
936,Nichelle Nichols,191971588,2,95985794
937,Walter Koenig,191971588,2,95985794
938,George Takei,191971588,2,95985794
939,Vanessa Williams,191915269,5,38383054
940,Elisabeth Shue,191594226,9,21288247
941,Joshua Leonard,191421319,7,27345903
942,Hector Elizondo,191285886,4,47821472
943,Noel Fisher,191204754,1,191204754
944,Pete Ploszek,191204754,1,191204754
945,Tohoru Masamune,191204754,1,191204754
946,Jeremy Howard,191204754,1,191204754
947,Corey Hawkins,191172952,2,95586476
948,Philip Seymour Hoffman,190433787,14,13602413
949,Jesse Plemons,190274305,6,31712384
950,Kimiko Glenn,190173195,2,95086598
951,John Mulaney,190173195,2,95086598
952,Fionn Whitehead,190068280,3,63356093
953,Melinda Dillon,189740688,2,94870344
954,Joe Lo Truglio,189647507,3,63215836
955,Jerry Ferrara,189419043,6,31569841
956,Zoë Kravitz,187379640,10,18737964
957,Fairuza Balk,186261112,4,46565278
958,Jane Levy,186237435,6,31039573
959,Common,185832745,12,15486062
960,Tom Selleck,184976010,4,46244003
961,Adriana Caselotti,184925486,1,184925486
962,Don Johnson,184754190,6,30792365
963,Annabelle Wallis,184630745,6,30771791
964,Ty Burrell,184258708,4,46064677
965,O.T. Fagbenle,183651655,1,183651655
966,Molly Ringwald,183181910,9,20353546
967,Dan Castellaneta,183135014,1,183135014
968,Molly Shannon,183054283,9,20339365
969,Rebecca Hall,182853002,14,13060929
970,Teri Garr,182098277,4,45524569
971,Steven Strait,182088439,5,36417688
972,Nia Long,181836963,10,18183696
973,Olivia Newton-John,181813770,1,181813770
974,James Woods,181518654,13,13962973
975,Trevor Morgan,181452525,3,60484175
976,Edgar Ramirez,181318504,10,18131850
977,Michael Jeter,181166115,1,181166115
978,Mia Wasikowska,180713330,15,12047555
979,Kelly McGillis,180548885,2,90274443
980,Bobby Cannavale,180325140,3,60108380
981,Columbus Short,180255959,7,25750851
982,Christopher Knights,180174880,1,180174880
983,Kate Capshaw,179880271,1,179880271
984,Jonathan Ke Quan,179880271,1,179880271
985,Demián Bichir,179506742,5,35901348
986,Alain Chabat,178384106,4,44596027
987,Jason Mitchell,178009380,5,35601876
988,Jamie Bell,177884337,15,11858956
989,Rachel Nichols,177854986,5,35570997
990,Matt Jones,177397510,3,59132503
991,Derek Luke,177361386,8,22170173
992,Charlton Heston,177100855,7,25300122
993,Hayley Atwell,176995416,3,58998472
994,Penelope Wilton,176374204,5,35274841
995,Peter Stormare,176144829,10,17614483
996,Allison Williams,175837935,4,43959484
997,Jennifer Jason Leigh,175799553,11,15981778
998,Timothée Chalamet,175611193,13,13508553
999,Til Schweiger,175319232,3,58439744
"1,000",Mike Epps,175118551,16,10944909
"1,001","Harry Connick, Jr.",174421625,5,34884325
"1,002",Vanessa Kirby,174117206,7,24873887
"1,003",Joe Pantoliano,173993387,4,43498347
"1,004",Matthew Goode,173827139,10,17382714
"1,005",Toby Kebbell,173583461,7,24797637
"1,006",Mark Dacascos,173358036,6,28893006
"1,007",Carey Mulligan,173293213,10,17329321
"1,008",Cee Lo Green,172710517,2,86355259
"1,009",Skyler Gisondo,172630809,7,24661544
"1,010",James Frain,172062763,1,172062763
"1,011",Bruce Boxleitner,172062763,2,86031382
"1,012",Lin-Manuel Miranda,171958438,4,42989610
"1,013",Sean Patrick Thomas,171111706,3,57037235
"1,014",Jason Mantzoukas,171021394,2,85510697
"1,015",Asia Kate Dillon,171016727,1,171016727
"1,016",Mahershala Ali,170918381,5,34183676
"1,017",Vivica Fox,170769594,17,10045270
"1,018",Omar Epps,170043072,13,13080236
"1,019",Sadie Sandler,169700110,1,169700110
"1,020",Sunny Sandler,169700110,1,169700110
"1,021",Asher Blinkoff,169700110,1,169700110
"1,022",Jonny Solomon,169700110,1,169700110
"1,023",Judy Greer,168840067,10,16884007
"1,024",Frankie Muniz,168643104,6,28107184
"1,025",Lucas Black,168406959,4,42101740
"1,026",Tom Welling,168125656,2,84062828
"1,027",David Ogden Stiers,168070538,4,42017635
"1,028",Barry Keoghan,167723790,3,55907930
"1,029",Ben Foster,167692667,15,11179511
"1,030",Mandy Patinkin,167526547,4,41881637
"1,031",Burt Lancaster,167272192,15,11151479
"1,032",Rosie Perez,167226521,7,23889503
"1,033",George MacKay,166803655,9,18533739
"1,034",Jennifer Love Hewitt,166334371,6,27722395
"1,035",Terrence J,166245413,3,55415138
"1,036",Jack Whitehall,165934872,3,55311624
"1,037",Kimberly Williams-Paisley,165904691,6,27650782
"1,038",Dylan Sprouse,165866278,3,55288759
"1,039",Anthony LaPaglia,165858527,9,18428725
"1,040",Aldis Hodge,165574605,2,82787303
"1,041",RZA,165565468,5,33113094
"1,042",Dave Foley,165458265,6,27576378
"1,043",Jackie Gleason,165408500,3,55136167
"1,044",Katherine Langford,165364060,2,82682030
"1,045",Jaeden Martell,165364060,2,82682030
"1,046",Don Lee,165188175,3,55062725
"1,047",Richard Madden,164920533,3,54973511
"1,048",Lauren Ridloff,164870264,1,164870264
"1,049",Lia McHugh,164870264,1,164870264
"1,050",James Belushi,164514534,7,23502076
"1,051",Rod Taylor,164403529,2,82201765
"1,052",Sharlto Copley,164253701,7,23464814
"1,053",Oprah Winfrey,164179090,3,54726363
"1,054",Jay Chou,163935678,6,27322613
"1,055",Dax Shepard,163723047,10,16372305
"1,056",Robert Englund,163504190,6,27250698
"1,057",Martha Plimpton,163484161,4,40871040
"1,058",Callum Turner,163441901,5,32688380
"1,059",Clancy Brown,163135983,5,32627197
"1,060",Bill Fagerbakke,162994032,1,162994032
"1,061",Carolyn Lawrence,162994032,1,162994032
"1,062",Rodger Bumpass,162994032,1,162994032
"1,063",Monica Potter,162779640,3,54259880
"1,064",Liam Hemsworth,161654488,9,17961610
"1,065",Saverio Guerra,161412000,1,161412000
"1,066","Neil Brown, Jr.",161197785,2,80598893
"1,067",Leslie Odom Jr.,160940323,6,26823387
"1,068",Josh Lucas,160171348,9,17796816
"1,069",Alan Cumming,160086147,6,26681025
"1,070",Faye Dunaway,159922924,9,17769214
"1,071",Julia Ormond,159571647,6,26595275
"1,072",Claudia Kim,159555901,1,159555901
"1,073",Teresa Palmer,159419792,12,13284983
"1,074",Dean-Charles Chapman,159227644,1,159227644
"1,075",Kate Bosworth,159154967,19,8376577
"1,076",Ed Skrein,158717732,5,31743546
"1,077",Jack O'Connell,158163289,11,14378481
"1,078",Nelly,158119460,1,158119460
"1,079",Kodi Smit-McPhee,157929498,8,19741187
"1,080",Jamie Kennedy,157361220,8,19670153
"1,081",Candice Bergen,157224570,7,22460653
"1,082",Cheri Oteri,157019771,4,39254943
"1,083",Eliza Scanlen,156376972,4,39094243
"1,084",Giovanni Ribisi,156372554,7,22338936
"1,085",Steve Whitmire,156109601,3,52036534
"1,086",Imelda Staunton,156073299,6,26012217
"1,087",Frank Grillo,155844517,23,6775849
"1,088",Bridget Fonda,155827422,7,22261060
"1,089",Dolly Parton,155424712,4,38856178
"1,090",Garry Shandling,155019340,1,155019340
"1,091",LeBron James,154783006,4,38695752
"1,092",Jeffrey Dean Morgan,154775258,10,15477526
"1,093",Gwen Stefani,153707064,1,153707064
"1,094",Elodie Yung,153676524,2,76838262
"1,095",Hugh Keays-Byrne,153636354,1,153636354
"1,096",Cliff Curtis,153094000,5,30618800
"1,097",Cristela Alonzo,152901115,1,152901115
"1,098",Ming-Na,152752084,2,76376042
"1,099",Rainn Wilson,152633490,8,19079186
"1,100",Izabela Vidovic,152581301,2,76290651
"1,101",Nick Frost,152578537,8,19072317
"1,102",Bono,152228530,3,50742843
"1,103",Ray Stevenson,152140144,5,30428029
"1,104",Christian Slater,151820442,18,8434469
"1,105",Hoyt Axton,151661913,1,151661913
"1,106",Polly Holliday,151661913,1,151661913
"1,107",Frances Lee McCain,151661913,1,151661913
"1,108",Ali MacGraw,151397186,3,50465729
"1,109",Kirstie Alley,150660221,2,75330111
"1,110",Nick Stahl,150472569,10,15047257
"1,111",Justice Smith,150218260,4,37554565
"1,112",Ray Park,150201498,1,150201498
"1,113",Kal Penn,149006162,8,18625770
"1,114",Claire Danes,148632021,7,21233146
"1,115",Odette Yustman,148420896,4,37105224
"1,116",Fran Drescher,148313048,2,74156524
"1,117",Isabela Moner,147848329,4,36962082
"1,118",Ashley Tisdale,147775615,5,29555123
"1,119",Beverly D'Angelo,147270465,4,36817616
"1,120",Jemaine Clement,147189529,6,24531588
"1,121",Dylan Minette,147023607,2,73511804
"1,122",David Duchovny,146887295,9,16320811
"1,123",Ali Wong,145713606,3,48571202
"1,124",Winston Chao,145609170,2,72804585
"1,125",Li Bingbing,145609170,3,48536390
"1,126",Ruby Rose,145590071,5,29118014
"1,127",Lizzy Caplan,145576462,6,24262744
"1,128",Ricky Gervais,145565496,5,29113099
"1,129",Rodrigo Santoro,145218250,4,36304563
"1,130",Aziz Ansari,144572606,2,72286303
"1,131",Denise Richards,144476616,11,13134238
"1,132",Thomas Jane,143986418,23,6260279
"1,133",Rosa Salazar,143870653,3,47956884
"1,134",will.i.am,143619809,1,143619809
"1,135",Martin Sheen,143473655,20,7173683
"1,136",Mos Def,143286605,3,47762202
"1,137",Stephen Lang,143163722,14,10225980
"1,138",D.B. Sweeney,142964443,5,28592889
"1,139",Lacey Chabert,142411498,18,7911750
"1,140",Randy Couture,142391068,7,20341581
"1,141",Jason Alexander,142168000,7,20309714
"1,142",Anika Noni Rose,142130597,2,71065299
"1,143",Asia Argento,142042668,7,20291810
"1,144",Bruce Reitherman,141843000,1,141843000
"1,145",Phil Harris,141843000,1,141843000
"1,146",Rosario Dawson,141745088,11,12885917
"1,147",Michael Madsen,141738898,17,8337582
"1,148",Kellan Lutz,141693800,10,14169380
"1,149",Verna Bloom,141600000,1,141600000
"1,150",Tim Matheson,141600000,2,70800000
"1,151",John Vernon,141600000,1,141600000
"1,152",Madhur Mittal,141330703,1,141330703
"1,153",Michael C. Williams,140539099,1,140539099
"1,154",Heather Donahue,140539099,1,140539099
"1,155",Sarah Paulson,140218711,3,46739570
"1,156",Charlotte Rampling,140096489,11,12736044
"1,157",Keith David,139932777,12,11661065
"1,158",Talia Shire,139908487,3,46636162
"1,159",John Hurt,139875877,11,12715989
"1,160",Ki Hong Lee,139729635,2,69864818
"1,161",Cillian Murphy,139091566,14,9935112
"1,162",Alex Kendrick,138057114,4,34514279
"1,163",Debra Winger,138017069,8,17252134
"1,164",Samuel E. Wright,137748063,1,137748063
"1,165",Win Morisaki,137690172,1,137690172
"1,166",Philip Zhao,137690172,1,137690172
"1,167",Jurnee Smollett,136133815,4,34033454
"1,168",Talitha Bateman,135838367,3,45279456
"1,169",Levi Miller,135566928,2,67783464
"1,170",John Lithgow,135556628,6,22592771
"1,171",Brian Tochi,135265915,1,135265915
"1,172",Lou Diamond Phillips,135177147,8,16897143
"1,173",Michelle Dockery,134600081,4,33650020
"1,174",Abbey Lee,134197468,4,33549367
"1,175",Ne-Yo,133428806,2,66714403
"1,176",Jessica Lange,133140924,8,16642616
"1,177",Ryan Phillippe,133066214,9,14785135
"1,178",Gabourey Sidibe,132477110,4,33119278
"1,179",Michael Chiklis,132292988,8,16536624
"1,180",Ed Oxenbould,132160254,3,44053418
"1,181",Ellen Barkin,132013875,6,22002313
"1,182",Breckin Meyer,131974916,7,18853559
"1,183",Noah Ringer,131772187,1,131772187
"1,184",Gabriel Byrne,131452327,9,14605814
"1,185",Brandon T. Jackson,131194847,3,43731616
"1,186",Pharrell Williams,130728860,1,130728860
"1,187",Halsey,130728860,2,65364430
"1,188",Amy O'Neill,130724172,1,130724172
"1,189",Robert Oliveri,130724172,1,130724172
"1,190",Thomas Brown,130724172,1,130724172
"1,191",Jared Rushton,130724172,1,130724172
"1,192",Sean Hayes,130427737,3,43475912
"1,193",Noah Schnapp,130178411,4,32544603
"1,194",Peter Cullen,130168683,1,130168683
"1,195",Kali Hawk,130069665,3,43356555
"1,196",Chris Messina,129244445,10,12924445
"1,197",Elizabeth McGovern,129227852,8,16153482
"1,198",Zooey Deschanel,129112361,6,21518727
"1,199",Frank Welker,129052996,5,25810599
"1,200",Franka Potente,128740567,3,42913522
"1,201",Kelsey Grammer,128389081,10,12838908
"1,202",Timothy Olyphant,128347893,6,21391316
"1,203",Isabel Lucas,128310800,4,32077700
"1,204",David Oyelowo,128289032,13,9868387
"1,205",Drew Carey,128200012,1,128200012
"1,206",Doug McKeon,127985432,2,63992716
"1,207",River Phoenix,127895414,4,31973854
"1,208",Max Thieriot,127757350,3,42585783
"1,209",Ludi Lin,127690481,2,63845241
"1,210",Pitbull,127668923,2,63834462
"1,211",Bob Balaban,127630319,4,31907580
"1,212",Carrie Coon,127606749,3,42535583
"1,213",Logan Kim,127468897,1,127468897
"1,214",Celeste O’ Conner,127468897,1,127468897
"1,215",Deon Richmond,127020627,2,63510314
"1,216",Kyle Chandler,127004179,1,127004179
"1,217",Randy Quaid,126765128,5,25353026
"1,218",Alexandra Daddario,126704934,12,10558745
"1,219",Jerry Seinfeld,126631277,1,126631277
"1,220",Cassi Davis,126602332,2,63301166
"1,221",Carmen Electra,126433901,3,42144634
"1,222",Kevin Connolly,126317057,2,63158529
"1,223",Sean Astin,126131700,17,7419512
"1,224",Virginia Madsen,125695591,11,11426872
"1,225",Stephen Merchant,125289407,6,20881568
"1,226",Odeya Rush,125159832,4,31289958
"1,227",Lizzo,125113839,2,62556920
"1,228",Ken Watanabe,125013660,6,20835610
"1,229",Suraj Sharma,124987022,2,62493511
"1,230",C. Thomas Howell,124878879,14,8919920
"1,231",Dick Van Dyke,124837779,6,20806297
"1,232",Ana de la Reguera,124737238,3,41579079
"1,233",Trevante Rhodes,124699352,3,41566451
"1,234",Henry Fonda,124606940,10,12460694
"1,235",Dakota Goyo,124003807,4,31000952
"1,236",Anne Heche,123517219,10,12351722
"1,237",Orlando Jones,123469089,6,20578182
"1,238",Jonny Lee Miller,123432045,7,17633149
"1,239",Kathryn Newton,123242685,4,30810671
"1,240",Miranda Otto,123214032,5,24642806
"1,241",Jon Lovitz,123129499,8,15391187
"1,242",Jean Dujardin,123117900,8,15389738
"1,243",Ron Howard,123100000,2,61550000
"1,244",Candy Clark,123100000,2,61550000
"1,245",Lucas Neff,123091781,2,61545891
"1,246",Jack Bright,123087120,1,123087120
"1,247",Raymond Ochoa,123087120,1,123087120
"1,248",Harvey Keitel,122746301,14,8767593
"1,249",Bruce Dern,122689139,12,10224095
"1,250",D.J. Cotrona,122523060,1,122523060
"1,251",Frances O’Connor,122127904,4,30531976
"1,252",LL Cool J,122065815,5,24413163
"1,253",Wolfman Jack,121342668,2,60671334
"1,254",Emile Hirsch,121308005,22,5514000
"1,255",Eva Mendes,121247778,8,15155972
"1,256",Andre Benjamin,121208441,5,24241688
"1,257",Eli Roth,120859509,3,40286503
"1,258",Steve Zahn,120728778,12,10060732
"1,259",Hugh Skinner,120670845,2,60335423
"1,260",Josh Dylan,120634935,1,120634935
"1,261",Jessica Keenan Wynn,120634935,1,120634935
"1,262",Alexa Davies,120634935,1,120634935
"1,263",Eric Idle,120583397,3,40194466
"1,264",Angela Lansbury,120582032,6,20097005
"1,265",Andrew Bryniarski,120089418,2,60044709
"1,266",Annabella Sciorra,120076381,6,20012730
"1,267",Kristen Schaal,119793567,2,59896784
"1,268",Ricardo Montalbán,119760631,2,59880316
"1,269",Tony Curtis,119733333,9,13303704
"1,270",Shelley Long,119596492,6,19932749
"1,271",Cleavon Little,119500000,2,59750000
"1,272",Dermot Mulroney,119361301,16,7460081
"1,273",Sally Hawkins,119104025,7,17014861
"1,274",Jamie Chung,118877024,9,13208558
"1,275",Kelly Preston,118394116,7,16913445
"1,276",Kenan Thompson,118159350,6,19693225
"1,277",Gary Sinise,117992721,3,39330907
"1,278",Kerry Washington,117523418,12,9793618
"1,279",Bonnie Aarons,117477707,2,58738854
"1,280",Robin Wright,117118827,8,14639853
"1,281",Robert Hoffman,117107354,4,29276839
"1,282",James Todd Smith,116877597,1,116877597
"1,283",Eminem,116724075,1,116724075
"1,284",Brendan Gleeson,116692442,11,10608404
"1,285",Damon Wayans,116537331,5,23307466
"1,286",Jillian Bell,116519094,8,14564887
"1,287",Robin Tunney,116097915,8,14512239
